1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.700774	0.000000	0.008955	0.345868	754
1	-0.744871	0.000000	0.008955	0.288159	3
2	-0.735731	0.000000	0.008955	0.237472	5
3	-0.718403	0.000000	0.008955	0.350542	4
4	-0.743527	0.000000	0.008955	0.324863	5
5	-0.750700	0.000000	0.008955	0.323047	3
6	-0.694514	0.000000	0.008955	0.266479	2
7	-0.724648	0.000000	0.008955	0.236434	6
8	-0.724819	0.000000	0.008955	0.281779	5
9	-0.744372	0.000000	0.008955	0.318199	4
10	-0.744926	0.000000	0.008955	0.332975	5
11	-0.714036	0.000000	0.008955	0.339629	3
12	-0.738523	0.000000	0.008955	0.303175	5
13	-0.731542	0.000000	0.008955	0.405673	3
14	-0.698304	0.000000	0.008955	0.520209	3
15	-0.690050	0.000000	0.008955	0.453776	4
16	-0.714673	0.000000	0.008955	0.215599	3
17	-0.697329	0.000000	0.008955	0.369354	5
18	-0.747045	0.000000	0.008955	0.386547	3
19	-0.743430	0.000000	0.008955	0.296035	5
20	-0.745536	0.000000	0.008955	0.292963	3
21	-0.714403	0.000000	0.008955	0.386885	2
22	-0.754904	0.000000	0.008955	0.202731	2
23	-0.741377	0.000000	0.008955	0.272733	3
24	-0.761017	0.000000	0.008955	0.317869	4
25	-0.737087	0.000000	0.008955	0.352930	3
26	-0.728063	0.000000	0.008955	0.328462	3
27	-0.746950	0.000000	0.008955	0.440331	3
28	-0.716632	0.000000	0.008955	0.371187	3
29	-0.727361	0.000000	0.008955	0.385524	3
30	-0.760504	0.000000	0.008955	0.198204	4
31	-0.731732	0.000000	0.008955	0.352005	2
32	-0.708520	0.000000	0.008955	0.330467	5
33	-0.774172	0.000000	0.008955	0.220215	3
34	-0.735470	0.000000	0.008955	0.316387	2
35	-0.708032	0.000000	0.008955	0.213537	3
36	-0.744111	0.000000	0.008955	0.260229	3
37	-0.750126	0.000000	0.008955	0.316016	2
38	-0.752993	0.000000	0.008955	0.208389	5
39	-0.726151	0.000000	0.008955	0.354309	2
40	-0.759709	0.000000	0.008955	0.368585	3
41	-0.754614	0.000000	0.008955	0.195292	5
42	-0.717237	0.000000	0.008955	0.183615	7
43	-0.761867	0.000000	0.008955	0.265075	7
44	-0.756670	0.000000	0.008955	0.283142	2
45	-0.693925	0.000000	0.008955	0.345697	5
46	-0.750978	0.000000	0.008955	0.434850	3
47	-0.757477	0.000000	0.008955	0.346706	4
48	-0.757668	0.000000	0.008955	0.330084	3
49	-0.743051	0.000000	0.008955	0.223211	2
50	-0.770850	0.000000	0.008955	0.211461	4
51	-0.790545	0.000000	0.008955	0.230321	3
52	-0.768422	0.000000	0.008955	0.248092	2
53	-0.757616	0.000000	0.008955	0.296183	3
54	-0.740523	0.000000	0.008955	0.428561	4
55	-0.724999	0.000000	0.008955	0.272892	3
56	-0.759797	0.000000	0.008955	0.278678	4
57	-0.736020	0.000000	0.008955	0.227393	3
58	-0.745619	0.000000	0.008955	0.339370	3
59	-0.760643	0.000000	0.008955	0.310030	4
60	-0.761846	0.000000	0.008955	0.455658	3
61	-0.781384	0.000000	0.008955	0.426597	3
62	-0.778363	0.000000	0.008955	0.269675	2
63	-0.749728	0.000000	0.008955	0.313247	6
64	-0.806498	0.000000	0.008955	0.276806	3
65	-0.753088	0.000000	0.008955	0.223833	2
66	-0.797568	0.000000	0.008955	0.175961	4
67	-0.779679	0.000000	0.008955	0.240373	4
68	-0.770370	0.000000	0.008955	0.308208	2
69	-0.784490	0.000000	0.008955	0.390061	5
70	-0.771308	0.000000	0.008955	0.315808	3
71	-0.750543	0.000000	0.008955	0.390402	2
72	-0.770480	0.000000	0.008955	0.353403	8
73	-0.783875	0.000000	0.008955	0.326145	4
74	-0.776199	0.000000	0.008955	0.137659	5
75	-0.759259	0.000000	0.008955	0.391851	5
76	-0.768908	0.000000	0.008955	0.265543	7
77	-0.780511	0.000000	0.008955	0.356875	4
78	-0.781478	0.000000	0.008955	0.235324	3
79	-0.781335	0.000000	0.008955	0.269030	2
80	-0.723000	0.000000	0.008955	0.238521	4
81	-0.777572	0.000000	0.008955	0.091665	2
82	-0.749260	0.000000	0.008955	0.334157	4
83	-0.773429	0.000000	0.008955	0.263788	4
84	-0.775679	0.000000	0.008955	0.207780	5
85	-0.766335	0.000000	0.008955	0.284857	4
86	-0.766238	0.000000	0.008955	0.139403	2
87	-0.747074	0.000000	0.008955	0.224740	3
88	-0.776096	0.000000	0.008955	0.264303	4
89	-0.764060	0.000000	0.008955	0.324732	4
90	-0.771013	0.000000	0.008955	0.336346	4
91	-0.776213	0.984289	0.008554	0.316214	2
92	-0.823185	0.610344	0.008702	0.188587	5
93	-0.804012	0.236400	0.008855	0.179472	5
94	-0.794083	1.219212	0.008464	0.519943	5
95	-0.760173	0.845268	0.008609	0.379508	2
96	-0.775796	0.471323	0.008758	0.353161	3
97	-0.777774	0.097379	0.008914	0.339195	3
98	-0.764580	0.000000	0.008955	0.292228	4
99	-0.803724	0.000000	0.008955	0.345186	4
100	-0.766694	0.000000	0.008955	0.330833	5
101	-0.780548	0.000000	0.008955	0.313317	7
102	-0.762275	0.000000	0.008955	0.245879	2
103	-0.773322	0.000000	0.008955	0.321656	5
104	-0.776698	0.000000	0.008955	0.216874	7
105	-0.789440	0.000000	0.008955	0.281883	2
106	-0.771275	0.000000	0.008955	0.224699	3
107	-0.791242	0.000000	0.008955	0.275524	3
108	-0.770552	0.000000	0.008955	0.337555	4
109	-0.770240	0.000000	0.008955	0.355607	3
110	-0.774759	0.000000	0.008955	0.366240	3
111	-0.792694	0.000000	0.008955	0.189330	4
