1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.727740	-0.729845	0.010528	0.000000	0.678227	0.101709	0.005064	0.101629	7	45	7288
1	-0.769394	-0.771519	0.010625	0.000000	0.678227	0.104539	0.005126	0.104556	7	61	69
2	-0.737195	-0.739288	0.010469	1.000000	0.647398	0.099803	0.005054	0.099665	8	53	63
3	-0.741221	-0.743416	0.010978	0.048500	0.676664	0.095193	0.005414	0.095115	7	58	65
4	-0.758824	-0.760976	0.010759	0.000000	0.678227	0.118848	0.005206	0.118712	7	45	52
5	-0.701462	-0.703618	0.010781	1.000000	0.647398	0.097297	0.005197	0.097338	7	52	60
6	-0.748913	-0.751108	0.010973	0.048500	0.676664	0.111227	0.005336	0.111189	7	47	54
7	-0.753173	-0.755397	0.011120	0.000000	0.678227	0.110682	0.005386	0.110693	9	73	83
8	-0.724661	-0.726731	0.010353	0.000000	0.678227	0.105011	0.004965	0.104984	7	71	79
9	-0.710898	-0.713066	0.010840	0.999787	0.647405	0.113039	0.005209	0.112925	10	57	68
10	-0.743446	-0.745620	0.010873	0.048287	0.676671	0.119079	0.005195	0.118969	11	43	55
11	-0.723904	-0.726076	0.010858	1.048287	0.645981	0.112170	0.005222	0.112037	6	85	92
12	-0.761604	-0.763778	0.010873	0.096787	0.675115	0.105012	0.005167	0.104891	9	84	94
13	-0.764083	-0.766312	0.011143	0.000000	0.678227	0.106491	0.005354	0.106385	9	60	70
14	-0.730847	-0.733028	0.010906	0.000000	0.678227	0.121628	0.005238	0.121434	8	55	64
15	-0.751366	-0.753577	0.011054	1.000000	0.647398	0.109449	0.005294	0.109349	7	45	53
16	-0.743038	-0.745341	0.011512	0.049123	0.676644	0.099935	0.005567	0.100086	8	54	63
17	-0.735583	-0.737815	0.011160	0.000000	0.678227	0.096351	0.005308	0.096124	7	50	59
18	-0.722077	-0.724318	0.011205	0.998821	0.647433	0.104431	0.005396	0.104469	7	47	56
19	-0.740146	-0.742448	0.011508	1.998466	0.619292	0.111261	0.005527	0.111221	7	50	57
20	-0.748513	-0.750732	0.011098	1.646557	0.628915	0.109974	0.005256	0.110037	9	46	56
21	-0.722010	-0.724195	0.010928	0.695057	0.656498	0.110482	0.005210	0.110441	7	51	59
22	-0.731029	-0.733245	0.011083	1.695057	0.627571	0.111947	0.005320	0.111906	7	43	51
